"Group" "Activity" "Subject_ID" "Variable" "Mean"
"test" "1 WALKING" 2 "1 tBodyAcc-mean()-X" 0.276426586440678
"test" "1 WALKING" 2 "121 tBodyGyro-mean()-X" -0.0530258157347458
"test" "1 WALKING" 2 "122 tBodyGyro-mean()-Y" -0.0482382316949153
"test" "1 WALKING" 2 "123 tBodyGyro-mean()-Z" 0.0828336633220339
"test" "1 WALKING" 2 "124 tBodyGyro-std()-X" -0.561550255762712
"test" "1 WALKING" 2 "125 tBodyGyro-std()-Y" -0.53845366779661
"test" "1 WALKING" 2 "126 tBodyGyro-std()-Z" -0.481085535084746
"test" "1 WALKING" 2 "161 tBodyGyroJerk-mean()-X" -0.0818833429152542
"test" "1 WALKING" 2 "162 tBodyGyroJerk-mean()-Y" -0.0538299449067797
"test" "1 WALKING" 2 "163 tBodyGyroJerk-mean()-Z" -0.0514939156830508
"test" "1 WALKING" 2 "164 tBodyGyroJerk-std()-X" -0.389549831525424
"test" "1 WALKING" 2 "165 tBodyGyroJerk-std()-Y" -0.634140436101695
"test" "1 WALKING" 2 "166 tBodyGyroJerk-std()-Z" -0.435492677288136
"test" "1 WALKING" 2 "2 tBodyAcc-mean()-Y" -0.0185949199145763
"test" "1 WALKING" 2 "201 tBodyAccMag-mean()" -0.290407593728814
"test" "1 WALKING" 2 "202 tBodyAccMag-std()" -0.422544169322034
"test" "1 WALKING" 2 "214 tGravityAccMag-mean()" -0.290407593728814
"test" "1 WALKING" 2 "215 tGravityAccMag-std()" -0.422544169322034
"test" "1 WALKING" 2 "227 tBodyAccJerkMag-mean()" -0.281424153881356
"test" "1 WALKING" 2 "228 tBodyAccJerkMag-std()" -0.164150985127119
"test" "1 WALKING" 2 "240 tBodyGyroMag-mean()" -0.446549092881356
"test" "1 WALKING" 2 "241 tBodyGyroMag-std()" -0.553019916271186
"test" "1 WALKING" 2 "253 tBodyGyroJerkMag-mean()" -0.547911950338983
"test" "1 WALKING" 2 "254 tBodyGyroJerkMag-std()" -0.557798151355932
"test" "1 WALKING" 2 "266 fBodyAcc-mean()-X" -0.346048161016949
"test" "1 WALKING" 2 "267 fBodyAcc-mean()-Y" -0.0219048103322034
"test" "1 WALKING" 2 "268 fBodyAcc-mean()-Z" -0.453806369830508
"test" "1 WALKING" 2 "269 fBodyAcc-std()-X" -0.457651383728814
"test" "1 WALKING" 2 "270 fBodyAcc-std()-Y" -0.16921968620339
"test" "1 WALKING" 2 "271 fBodyAcc-std()-Z" -0.455222146440678
"test" "1 WALKING" 2 "294 fBodyAcc-meanFreq()-X" -0.14579548970339
"test" "1 WALKING" 2 "295 fBodyAcc-meanFreq()-Y" 0.198586466508475
"test" "1 WALKING" 2 "296 fBodyAcc-meanFreq()-Z" 0.0688995208186441
"test" "1 WALKING" 2 "3 tBodyAcc-mean()-Z" -0.105500357966102
"test" "1 WALKING" 2 "345 fBodyAccJerk-mean()-X" -0.304615322881356
"test" "1 WALKING" 2 "346 fBodyAccJerk-mean()-Y" -0.0787640836610169
"test" "1 WALKING" 2 "347 fBodyAccJerk-mean()-Z" -0.554956709661017
"test" "1 WALKING" 2 "348 fBodyAccJerk-std()-X" -0.31431306340678
"test" "1 WALKING" 2 "349 fBodyAccJerk-std()-Y" -0.0153329520084746
"test" "1 WALKING" 2 "350 fBodyAccJerk-std()-Z" -0.615898188474576
"test" "1 WALKING" 2 "373 fBodyAccJerk-meanFreq()-X" -0.0727101584479661
"test" "1 WALKING" 2 "374 fBodyAccJerk-meanFreq()-Y" -0.263574018186441
"test" "1 WALKING" 2 "375 fBodyAccJerk-meanFreq()-Z" -0.254846438755932
"test" "1 WALKING" 2 "4 tBodyAcc-std()-X" -0.423642838474576
"test" "1 WALKING" 2 "41 tGravityAcc-mean()-X" 0.91301733338983
"test" "1 WALKING" 2 "42 tGravityAcc-mean()-Y" -0.34660709
"test" "1 WALKING" 2 "424 fBodyGyro-mean()-X" -0.429713536101695
